;ITEM;TIPO;DISTRITO;INEP;UNIDADE ESCOLAR;ENDEREÇO;BAIRRO;CEP;lat;lon
435;177;EMTP;III;23184680;ESCOLA MUNICIPAL PROFESSOR DENIZARD MACEDO DE ALCANTARA;RUA MATOSO FILHO, 450;OLAVO OLIVEIRA;60351365;-3.7318048876392647;-38.58905116961758
436;185;EMTI;III;23264780;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR JOSE JULIO DA PONTE;RUA MÁRIO DE ANDRADE, S/N;BELA VISTA;60442132;-3.753033798990206;-38.55962366713311
437;187;EMTP;III;23234407;ESCOLA MUNICIPAL JOSE BATISTA DE OLIVEIRA;RUA GOIÁS, S/N;PANAMERICANO;60441005;-3.757038835022342;-38.564872595672384
438;190;EMTP;III;23069945;ESCOLA MUNICIPAL GOVERNADOR FAUSTINO DE ALBUQUERQUE;RUA 143, 155;CONJUNTO CEARÁ II;60530210;-3.7710786569396495;-38.60855358846217
439;195;EMTP;III;23271531;ESCOLA MUNICIPAL MANOEL CAETANO DE SOUZA;RUA N.S. DAS GRAÇAS, 123;GENIBAÚ;60535135;-3.762576437775252;-38.59642574272267
440;197;EMTP;III;23072180;ESCOLA MUNICIPAL PADRE ARIMATEIA DINIZ;RUA 810, S/N;CONJUNTO CEARÁ I;60532150;-3.766761274116326;-38.60831917071721
441;199;EMTP;III;23069350;ESCOLA MUNICIPAL PROFESSOR JOSE MILITAO DE ALBUQUERQUE;RUA 1145, 14;CONJUNTO CEARÁ I;60533470;-3.759795083421261;-38.61025941121338
442;200;EMTI;III;23069015;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ADEMAR NUNES BATISTA;RUA 1159 , 100;CONJUNTO CEARÁ I;60533540;-3.76261320401487;-38.61117542393161
443;202;EMTI;III;23277246;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA DA HORA;RUA RAIMUNDO RIBEIRO, S/N;AUTRAN NUNES;60526500;-3.754749979925621;-38.59510740781408
444;203;CAEE;III;_;ASSOCIACAO DOS CEGOS DO ESTADO DO CEARA;RUA ODILON SOARES, 39;FARIAS BRITO;60010820;-3.729917085323647;-38.54171391158536
445;204;CEI;III;_;CEI PROFESSOR MARTINZ DE AGUIAR;RUA BERNARDO PORTO, 490;MONTE CASTELO;60320570;-3.722720829534489;-38.55714610828549
446;206;CEI;III;_;CEI DOM JOSE TUPINAMBA DA FROTA;RUA RIO GRANDE DO SUL, S/N;BELA VISTA;60441145;-3.7511835962845073;-38.562419095027145
447;207;CEI;III;_;CEI JOAQUIM NOGUEIRA;RUA SÃO VICENTE DE PAULA, 250A;ANTÔNIO BEZERRA;60352370;-3.738965591760645;-38.59746558360658
448;210;CEI;III;_;CEI MURILO SERPA - UND II;AV. CORONEL MATOS DOURADO, S/N;PICI;60511745;-3.7467713686704034;-38.58473081206107
449;214;CEI;III;_;CEI SAO CARLOS;RUA DOS PESCADORES, 188;QUINTINO CUNHA;60352640;-3.732287529377173;-38.60179634123775
450;216;CEI;III;_;CEI ALTAMIR FERNANDES CORREA LEITE;TRAV. QUÊNIA, 50;PADRE ANDRADE;60360436;-3.7398533801887113;-38.58164627685649
451;217;CEI;III;_;CEI JOSE BATISTA DE OLIVEIRA;RUA MINAS GERAIS, S/N;PANAMERICANO;60441035;-3.7560713973226503;-38.565075506515846
452;220;CEI;III;_;CEI MARIA TEREZINHA DE CARVALHO HOLANDA;AV I, S/N;GENIBAÚ;60533671;-3.767624760775239;-38.59702967693499
453;221;CEI;III;_;CEI JORNALISTA NENO CAVALCANTE;RUA 725, S/N;CONJUNTO CEARÁ II;60531740;-3.771465355882518;-38.60383401526398
454;222;CEI;III;_;CEI ANTONIA NATHALIA CRISTINA CHAVES MACIEL;RUA 910, S/N;CONJUNTO CEARÁ II;60532510;-3.7748633990118647;-38.61814977205716
455;223;CEI;III;_;CEI ANTÔNIO VALDINAR DE CARVALHO CUSTÓDIO;RUA 202, S/N;CONJUNTO CEARÁ I;60530260;-3.7662242880343264;-38.60947205404587
456;224;CEI;III;_;CEI FRANCISCO EURIVA MATIAS;RUA FREI MARCELINO, S/N;RODOLFO TEÓFILO;60431006;-3.747294803916233;-38.55565106064657
457;225;CEI;III;_;CEI MARIA DA CONCEIÇÃO HOLANDA CAVALCANTE;RUA JOCKEY CLUB, S/N;HENRIQUE JORGE;60510325;-3.761420693362428;-38.58123908540057
458;227;CRP;III;_;CRECHE VÓ MARIA DA PENHA;QUADRA E, 136 (CONJUNTO CASTELO BRANCO);PRESIDENTE KENNEDY;60357240;-3.729617965281775;-38.56958637878751
459;240;CRP;III;_;CRECHE NOSSA SENHORA DE FATIMA;RUA 1107, S/N;CONJUNTO CEARÁ I;60533270;-3.7635545044744023;-38.61197789427586
460;242;CRP;III;_;CRECHE TIA NEIDE;RUA 448F, S/N;CONJUNTO CEARÁ I;60531240;-3.761175486736439;-38.6055201500653
461;243;CRP;III;_;CRECHE PARAISO;RUA BENJAMIN CONSTANT, 497;PICI;60441410;-3.748933390597333;-38.56851450100938
462;252;EMTP;IV;23264179;ESCOLA MUNICIPAL ADALBERTO STUDART FILHO;RUA DO CAMPO, 25;PLANALTO AYRTON SENNA;60766395;-3.835024929644383;-38.5749474588436
463;254;EMTP;IV;23066660;ESCOLA MUNICIPAL CATULO DA PAIXAO CEARENSE;RUA LEÃO DO NORTE, 300;VILA PERI;60730010;-3.7835517403593175;-38.57774691590003
464;255;EMTP;IV;23075155;ESCOLA MUNICIPAL CLAUDIO MARTINS;RUA BARÃO DE CANINDÉ, S/N;ITAOCA;60421106;-3.770478172134694;-38.55744594207255
465;256;EMTP;IV;23073934;ESCOLA MUNICIPAL DOM MANOEL DA SILVA GOMES;RUA SAMUEL UCHÔA, 550;JARDIM AMÉRICA;60416205;-3.754678263214725;-38.54538304663513
466;257;EMTP;IV;23070056;ESCOLA MUNICIPAL FRANCISCO NUNES CAVALCANTE;RUA POETA MÁRIO LINHARES, 561;PREFEITO JOSÉ WALTER;60750160;-3.822191773428514;-38.55551223225845
467;264;EMTP;IV;23234423;ESCOLA MUNICIPAL MARIA DE CARVALHO MARTINS;AV. DOUTOR SILAS MUNGUBA, 4300;ITAPERI;60714502;-3.791365769594648;-38.53749961524155
468;269;EMTP;IV;23256486;ESCOLA MUNICIPAL PADRE FELICE PISTONE;RUA JÚLIO CÉSAR, 1810;DAMAS;60425236;-3.757183823621449;-38.54900235242629
469;271;EMTP;IV;23072563;ESCOLA MUNICIPAL PROFESSOR JOSE VALDEVINO DE CARVALHO;RUA GUARÁ, S/N;PARANGABA;60740140;-3.776374987222432;-38.5589549823473
470;272;EMTP;IV;23257059;ESCOLA MUNICIPAL PROFESSORA IRENE DE SOUZA PEREIRA;RUA F, S/N (LOT. EDITH BARREIRA BRAGA);PLANALTO AYRTON SENNA;60766045;-3.829383740138023;-38.56910535149596
471;277;EMTP;IV;23077131;ESCOLA MUNICIPAL ROGACIANO LEITE;RUA 45, S/N;PREFEITO JOSÉ WALTER;60750590;-3.832754131071067;-38.55711125937216
